,Data
0,0.3918727191785897
1,0.08834898589916329
2,0.03501518230860334
3,0.05344041120317444
4,0.9759893466162383
5,0.11335483787964251
6,0.006729278189911536
7,0.16747747529249524
8,0.10364534753368004
9,0.6681960044494225
10,0.8266709764108836
11,0.25184188647126715
12,0.5527926999751416
13,0.07317175305611578
14,0.24011604500681516
15,0.5421387268786353
16,0.9977374981256121
17,0.16897555926354568
18,0.651429259203875
19,0.2826059477714544
20,0.008123192431090831
21,0.8172157828585097
22,0.04001747038600734
23,0.12649551126474434
24,0.8988417740186492
25,0.29257047267934166
26,0.15965015543926064
27,0.2258514550077363
28,0.33894500031079344
29,0.04167880601994156
30,0.7557476423642266
31,0.7394112248366386
32,0.0245893099009048
33,0.5912399964997558
34,0.045049170234458535
35,0.9655197349350848
36,0.1323538232045972
37,0.36058465832070385
38,0.4478417746049518
39,0.7510862313995209
40,0.7025880741835431
41,0.7473866937509218
42,0.8901394147455076
43,0.923132041002939
44,0.7716247340756887
45,0.10658174920778185
46,0.053243466568389075
47,0.6920074875620752
48,0.9999188154721158
49,0.21459632001748463
50,0.4813199983186893
51,0.40840078751737574
52,0.8335199942382815
53,0.1477722311771894
54,0.958856901053725
55,0.7139973411115841
56,0.2104284068631591
57,0.546933937301844
58,0.44250291100282424
59,0.18903023861562074
60,0.3174823227371234
61,0.02966503290993039
62,0.2820369789425854
63,0.4329926733563282
64,0.8460950385349468
65,0.6116010288884512
66,0.7239204714986963
67,0.728347467773224
68,0.18305806198338626
69,0.8880329409434432
70,0.2592469202798158
71,0.3360162837831706
72,0.042302152408407845
73,0.7695721614673676
74,0.11418046884858346
75,0.5583114430175421
76,0.9081371086155708
77,0.9010500792744366
78,0.3397126552682427
79,0.8164627540076262
80,0.7684246315607406
81,0.7592294828554583
82,0.19376181523748326
83,0.5298569110937128
84,0.4806816597593203
85,0.8223385313972134
86,0.8388034797359155
87,0.42691841463331237
88,0.865220951603749
89,0.7091480125692469
90,0.37194476251796116
91,0.6276596184272865
92,0.7520360119442013
93,0.03842027156634742
94,0.688412361067548
95,0.8682077076305801
96,0.08347661677936213
97,0.9799492287298506
98,0.9928395577543735
99,0.9280496429071284
100,0.8634288056818262
101,0.8480123173561555
102,0.40610326772375915
103,0.15098193040089158
104,0.7411900519616879
105,0.7323291355315892
106,0.9192626531128707
107,0.5940114152796334
108,0.13912719553603003
109,0.32115918338054616
110,0.8563195970601369
111,0.7413598101761942
112,0.4151842381501123
113,0.30411190963531987
114,0.827593380003062
115,0.09147601676482342
116,0.10137879255652305
117,0.9173695443186288
118,0.09256661496128549
119,0.27059802985111414
120,0.9937100218749226
121,0.6585510972788171
122,0.3211388273632796
123,0.1513088867133494
124,0.5699247521448864
125,0.3187560887260833
126,0.8001095234830164
127,0.9020351529351868
128,0.6313583296858765
129,0.6648141883532414
130,0.3789217187596655
131,0.2472643267649015
132,0.43672917388823107
133,0.9164182941577804
134,0.13461686706613807
135,0.8532577771694642
136,0.292451927679115
137,0.27793776685387295
138,0.13458188943046523
139,0.08886212655552883
140,0.5326617843656717
141,0.022512728481332678
142,0.9911394714161184
143,0.824116581819503
144,0.6462038076244703
145,0.8802260255673986
146,0.9744156682331387
147,0.8094651884386858
148,0.35535745522864726
149,0.37265686859481506
150,0.358305949371745
151,0.8416390966296441
152,0.2588912691257621
153,0.9428964599552709
154,0.6709714704769014
155,0.696337536960014
156,0.22515134052784191
157,0.5429297394546418
158,0.6404752031000638
159,0.16831427258908727
160,0.439229433880692
161,0.7708130787018326
162,0.5538208350354952
